Animal,Symptom 1,Symptom 2,Symptom 3,Disease
goat,blisters on mouth,loss of appetite,lameness,foot and mouth
cow,lameness,loss of appetite,sores on hooves,foot and mouth
sheep,loss of appetite,difficulty walking,sores on mouth,foot and mouth
goat,lameness,loss of appetite,depression,blackleg
goat,depression,crackling sound,swelling in limb,blackleg
buffalo,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,depression,painless lumps,loss of appetite,pneumonia
cow,loss of appetite,difficulty walking,sores on mouth,foot and mouth
cow,lameness,loss of appetite,blisters on mouth,foot and mouth
cow,sores on mouth,loss of appetite,lameness,foot and mouth
buffalo,chills,sweats,shortness of breath,anthrax
buffalo,sweats,chills,chest discomfort,anthrax
goat,painless lumps,loss of appetite,depression,pneumonia
goat,painless lumps,depression,loss of appetite,lumpy virus
buffalo,loss of appetite,depression,painless lumps,lumpy virus
sheep,painless lumps,loss of appetite,depression,lumpy virus
goat,chest discomfort,chills,shortness of breath,anthrax
buffalo,sores on tongue,lameness,loss of appetite,foot and mouth
cow,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
buffalo,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
buffalo,depression,painless lumps,loss of appetite,pneumonia
buffalo,swelling in muscle,loss of appetite,difficulty walking,blackleg
buffalo,loss of appetite,lameness,sores on tongue,foot and mouth
sheep,fatigue,shortness of breath,chest discomfort,anthrax
goat,depression,crackling sound,lameness,blackleg
cow,loss of appetite,blisters on gums,lameness,foot and mouth
buffalo,loss of appetite,painless lumps,depression,pneumonia
sheep,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
sheep,swelling in neck,chest discomfort,sweats,anthrax
buffalo,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,depression,loss of appetite,painless lumps,pneumonia
buffalo,sweats,chills,shortness of breath,anthrax
sheep,depression,painless lumps,loss of appetite,lumpy virus
sheep,swelling in muscle,lameness,crackling sound,blackleg
sheep,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,painless lumps,loss of appetite,depression,lumpy virus
sheep,depression,loss of appetite,painless lumps,pneumonia
buffalo,swelling in limb,difficulty walking,loss of appetite,blackleg
buffalo,depression,loss of appetite,painless lumps,lumpy virus
goat,blisters on hooves,lameness,loss of appetite,foot and mouth
sheep,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,painless lumps,depression,loss of appetite,lumpy virus
sheep,crackling sound,swelling in muscle,depression,blackleg
cow,loss of appetite,depression,painless lumps,pneumonia
sheep,depression,swelling in limb,lameness,blackleg
sheep,painless lumps,depression,loss of appetite,lumpy virus
cow,sores on gums,lameness,loss of appetite,foot and mouth
sheep,sweats,chills,shortness of breath,anthrax
sheep,painless lumps,depression,loss of appetite,pneumonia
cow,loss of appetite,lameness,swelling in limb,blackleg
goat,chest discomfort,chills,shortness of breath,anthrax
sheep,depression,loss of appetite,painless lumps,lumpy virus
buffalo,depression,painless lumps,loss of appetite,lumpy virus
goat,depression,painless lumps,loss of appetite,pneumonia
goat,chills,sweats,chest discomfort,anthrax
cow,fatigue,chest discomfort,shortness of breath,anthrax
sheep,painless lumps,loss of appetite,depression,lumpy virus
buffalo,loss of appetite,painless lumps,depression,lumpy virus
goat,loss of appetite,swelling in limb,crackling sound,blackleg
goat,swelling in limb,lameness,loss of appetite,blackleg
cow,depression,swelling in limb,loss of appetite,blackleg
buffalo,sweats,chest discomfort,swelling in neck,anthrax
goat,depression,painless lumps,loss of appetite,lumpy virus
buffalo,lameness,swelling in muscle,loss of appetite,blackleg
buffalo,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,difficulty walking,depression,crackling sound,blackleg
buffalo,swelling in neck,chills,chest discomfort,anthrax
goat,painless lumps,depression,loss of appetite,pneumonia
goat,depression,loss of appetite,painless lumps,pneumonia
buffalo,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
sheep,lameness,loss of appetite,sores on gums,foot and mouth
goat,chills,swelling in extremities,shortness of breath,anthrax
goat,crackling sound,lameness,loss of appetite,blackleg
goat,swelling in abdomen,fatigue,chest discomfort,anthrax
goat,swelling in extremities,chest discomfort,fatigue,anthrax
cow,crackling sound,difficulty walking,loss of appetite,blackleg
buffalo,loss of appetite,depression,painless lumps,pneumonia
buffalo,lameness,loss of appetite,sores on mouth,foot and mouth
goat,depression,crackling sound,loss of appetite,blackleg
sheep,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
cow,loss of appetite,sores on tongue,lameness,foot and mouth
goat,sweats,swelling in extremities,shortness of breath,anthrax
sheep,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,depression,painless lumps,pneumonia
cow,loss of appetite,crackling sound,swelling in muscle,blackleg
sheep,depression,painless lumps,loss of appetite,pneumonia
sheep,painless lumps,loss of appetite,depression,lumpy virus
buffalo,shortness of breath,fatigue,swelling in extremities,anthrax
sheep,difficulty walking,loss of appetite,depression,blackleg
cow,difficulty walking,swelling in limb,depression,blackleg
sheep,difficulty walking,sores on mouth,loss of appetite,foot and mouth
buffalo,fatigue,sweats,chest discomfort,anthrax
buffalo,shortness of breath,swelling in extremities,chills,anthrax
goat,swelling in limb,difficulty walking,crackling sound,blackleg
buffalo,sores on mouth,lameness,loss of appetite,foot and mouth
cow,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
cow,lameness,depression,crackling sound,blackleg
buffalo,loss of appetite,painless lumps,depression,pneumonia
sheep,swelling in limb,lameness,crackling sound,blackleg
cow,shortness of breath,chills,fatigue,anthrax
buffalo,depression,loss of appetite,painless lumps,lumpy virus
cow,loss of appetite,sores on mouth,lameness,foot and mouth
cow,sweats,shortness of breath,chills,anthrax
cow,sweats,shortness of breath,chest discomfort,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
sheep,painless lumps,depression,loss of appetite,lumpy virus
buffalo,loss of appetite,lameness,blisters on mouth,foot and mouth
sheep,depression,painless lumps,loss of appetite,lumpy virus
sheep,depression,loss of appetite,painless lumps,pneumonia
goat,depression,painless lumps,loss of appetite,pneumonia
buffalo,depression,painless lumps,loss of appetite,pneumonia
buffalo,difficulty walking,crackling sound,depression,blackleg
goat,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
goat,swelling in abdomen,chills,fatigue,anthrax
cow,shortness of breath,chills,chest discomfort,anthrax
sheep,loss of appetite,painless lumps,depression,pneumonia
buffalo,lameness,sores on gums,loss of appetite,foot and mouth
buffalo,sores on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,loss of appetite,painless lumps,depression,lumpy virus
cow,painless lumps,loss of appetite,depression,lumpy virus
goat,loss of appetite,sores on hooves,lameness,foot and mouth
goat,depression,crackling sound,loss of appetite,blackleg
cow,swelling in limb,loss of appetite,crackling sound,blackleg
cow,lameness,swelling in muscle,loss of appetite,blackleg
goat,depression,swelling in muscle,loss of appetite,blackleg
buffalo,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,painless lumps,loss of appetite,depression,pneumonia
buffalo,crackling sound,loss of appetite,depression,blackleg
sheep,swelling in abdomen,chest discomfort,shortness of breath,anthrax
cow,depression,painless lumps,loss of appetite,lumpy virus
buffalo,loss of appetite,depression,painless lumps,pneumonia
goat,lameness,loss of appetite,blisters on hooves,foot and mouth
sheep,painless lumps,loss of appetite,depression,lumpy virus
goat,lameness,crackling sound,loss of appetite,blackleg
cow,difficulty walking,swelling in limb,loss of appetite,blackleg
cow,shortness of breath,chills,swelling in abdomen,anthrax
goat,lameness,depression,crackling sound,blackleg
cow,loss of appetite,depression,painless lumps,lumpy virus
buffalo,loss of appetite,painless lumps,depression,lumpy virus
cow,shortness of breath,swelling in abdomen,sweats,anthrax
goat,depression,swelling in limb,lameness,blackleg
goat,fatigue,chills,swelling in neck,anthrax
goat,chills,swelling in extremities,shortness of breath,anthrax
cow,lameness,swelling in muscle,loss of appetite,blackleg
goat,swelling in limb,difficulty walking,crackling sound,blackleg
goat,swelling in muscle,depression,loss of appetite,blackleg
sheep,difficulty walking,loss of appetite,sores on hooves,foot and mouth
sheep,loss of appetite,sores on gums,difficulty walking,foot and mouth
sheep,depression,loss of appetite,painless lumps,pneumonia
goat,depression,painless lumps,loss of appetite,lumpy virus
buffalo,loss of appetite,difficulty walking,sores on hooves,foot and mouth
goat,sweats,shortness of breath,chills,anthrax
sheep,loss of appetite,painless lumps,depression,pneumonia
sheep,blisters on tongue,lameness,loss of appetite,foot and mouth
cow,blisters on mouth,lameness,loss of appetite,foot and mouth
goat,swelling in muscle,difficulty walking,crackling sound,blackleg
cow,depression,difficulty walking,loss of appetite,blackleg
buffalo,painless lumps,loss of appetite,depression,pneumonia
cow,loss of appetite,painless lumps,depression,lumpy virus
goat,chest discomfort,shortness of breath,chills,anthrax
buffalo,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
cow,loss of appetite,depression,painless lumps,lumpy virus
goat,lameness,sores on hooves,loss of appetite,foot and mouth
goat,fatigue,shortness of breath,sweats,anthrax
sheep,shortness of breath,sweats,chest discomfort,anthrax
goat,lameness,loss of appetite,sores on mouth,foot and mouth
buffalo,chest discomfort,chills,shortness of breath,anthrax
goat,difficulty walking,sores on hooves,loss of appetite,foot and mouth
cow,blisters on mouth,loss of appetite,lameness,foot and mouth
goat,depression,loss of appetite,painless lumps,pneumonia
buffalo,loss of appetite,depression,painless lumps,lumpy virus
sheep,painless lumps,depression,loss of appetite,lumpy virus
buffalo,lameness,loss of appetite,swelling in limb,blackleg
buffalo,depression,painless lumps,loss of appetite,pneumonia
goat,chest discomfort,sweats,fatigue,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
goat,swelling in muscle,crackling sound,difficulty walking,blackleg
cow,depression,painless lumps,loss of appetite,pneumonia
sheep,sores on gums,loss of appetite,lameness,foot and mouth
buffalo,fatigue,sweats,chills,anthrax
sheep,painless lumps,depression,loss of appetite,lumpy virus
sheep,depression,painless lumps,loss of appetite,pneumonia
buffalo,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,chills,shortness of breath,fatigue,anthrax
sheep,loss of appetite,lameness,blisters on hooves,foot and mouth
sheep,chest discomfort,swelling in abdomen,shortness of breath,anthrax
sheep,depression,difficulty walking,swelling in limb,blackleg
sheep,swelling in extremities,sweats,chills,anthrax
cow,shortness of breath,chest discomfort,sweats,anthrax
goat,crackling sound,loss of appetite,lameness,blackleg
sheep,loss of appetite,blisters on gums,lameness,foot and mouth
cow,chest discomfort,sweats,chills,anthrax
cow,sweats,chills,fatigue,anthrax
goat,swelling in muscle,lameness,crackling sound,blackleg
cow,chills,swelling in extremities,fatigue,anthrax
cow,painless lumps,depression,loss of appetite,lumpy virus
goat,depression,lameness,loss of appetite,blackleg
buffalo,blisters on tongue,lameness,loss of appetite,foot and mouth
buffalo,painless lumps,depression,loss of appetite,lumpy virus
goat,loss of appetite,painless lumps,depression,lumpy virus
sheep,chills,shortness of breath,chest discomfort,anthrax
goat,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
cow,fatigue,chest discomfort,shortness of breath,anthrax
goat,difficulty walking,depression,crackling sound,blackleg
cow,painless lumps,depression,loss of appetite,lumpy virus
cow,painless lumps,loss of appetite,depression,lumpy virus
goat,loss of appetite,blisters on hooves,lameness,foot and mouth
sheep,depression,loss of appetite,crackling sound,blackleg
goat,chills,chest discomfort,swelling in neck,anthrax
goat,chest discomfort,chills,swelling in extremities,anthrax
cow,chest discomfort,swelling in neck,chills,anthrax
sheep,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,chills,fatigue,sweats,anthrax
cow,sweats,swelling in extremities,chest discomfort,anthrax
buffalo,crackling sound,loss of appetite,depression,blackleg
cow,loss of appetite,depression,painless lumps,pneumonia
sheep,depression,swelling in limb,difficulty walking,blackleg
goat,sweats,shortness of breath,swelling in abdomen,anthrax
